r,E_true,S_target
3.4884422110552764,-4.0234721183238875,-14.03564997256504
3.5183417085427138,-3.9909676647193555,-14.041587992227422
3.5482412060301507,-3.958970931952416,-14.04738379422915
3.578140703517588,-3.9274704357953216,-14.0530418281812
3.6080402010050254,-3.896455025446365,-14.058566373218545
3.6379396984924623,-3.8659138719379316,-14.063961545675706
3.6678391959798997,-3.8358364570039303,-14.069231306367683
3.6977386934673366,-3.8062125623867398,-14.074379467498906
3.727638190954774,-3.777032259564683,-14.079409699221516
3.7575376884422114,-3.7482858998819153,-14.084325535862826
3.7874371859296483,-3.7199641050634082,-14.089130381840658
3.8173366834170857,-3.692057758098503,-14.09382751728406
3.8472361809045226,-3.664557994477264,-14.098420103375846
3.87713567839196,-3.637456193764545,-14.102911187432335
3.9070351758793973,-3.6107439714974032,-14.10730370773483
3.9369346733668342,-3.58441317139211,-14.111600498126375
3.9668341708542716,-3.558455857847647,-14.115804292386597
3.9967336683417085,-3.5328643087331844,-14.119917728396674
4.026633165829146,-3.507631008447553,-14.12394335210565
4.056532663316583,-3.48274864123933,-14.12788362130879
4.08643216080402,-3.4582100847766095,-14.131740909247934
4.1163316582914575,-3.434008403956065,-14.13551750804327
4.146231155778895,-3.4101368449413596,-14.139215631965408
4.176130653266332,-3.3865888294213984,-14.142837420556049
4.206030150753769,-3.363357949079364,-14.146384941605165
4.235929648241206,-3.3404379602638676,-14.149860193992097
4.2658291457286435,-3.3178227788539343,-14.153265110397513
4.295728643216081,-3.29550647530992,-14.156601559892891
4.325628140703518,-3.273483269902794,-14.159871350413695
4.355527638190955,-3.25174752811457,-14.163076231122128
4.385427135678392,-3.2302937562029754,-14.166217894665008
4.415326633165829,-3.209116596923775,-14.169297979332036
4.445226130653267,-3.1882108254044152,-14.172318071119326
4.475125628140704,-3.1675713451629712,-14.175279705702938
4.505025125628141,-3.147193184266633,-14.178184370326816
4.534924623115578,-3.127071491624191,-14.181033505609303
4.564824120603015,-3.1072015334072662,-14.183828507272166
4.594723618090453,-3.0875786895952233,-14.186570727795944
4.62462311557789,-3.0681984506389264,-14.189261478005047
4.6545226130653266,-3.049056414238734,-14.191902028586068
4.684422110552764,-3.0301482822322883,-14.194493611542407
4.714321608040201,-3.0114698575878736,-14.19703742158826
4.744221105527639,-2.993017041499282,-14.199534617484785
4.774120603015076,-2.9747858305783015,-14.201986323321185
4.8040201005025125,-2.9567723141411135,-14.204393629743238
4.83391959798995,-2.938972671585023,-14.206757595131723
4.863819095477387,-2.9213831698521244,-14.209079246733022
4.893718592964825,-2.9040001609766195,-14.211359581744127
4.923618090452262,-2.886820079712658,-14.213599568354084
4.953517587939698,-2.869839441239697,-14.215800146743875
4.983417085427136,-2.8530548389424952,-14.217962230046595
5.013316582914573,-2.836462942262988,-14.2200867052697
5.0432160804020105,-2.8200604946213876,-14.22217443418103
5.073115577889448,-2.803844311403975,-14.224226254160216
5.103015075376884,-2.787811278015144,-14.226242979016977
5.132914572864322,-2.7719583479913577,-14.22822539977775
5.162814070351759,-2.7562825411747887,-14.2301742854421
5.1927135678391965,-2.740780941944474,-14.232090383710164
5.222613065326634,-2.7254506975029247,-14.233974421682362
5.25251256281407,-2.710289016216214,-14.235827106532652
5.282412060301508,-2.69529316600563,-14.237649126156374
5.312311557788945,-2.680460472789076,-14.239441149793828
5.342211055276382,-2.6657883189704483,-14.241203828630573
5.37211055276382,-2.651274141975313,-14.242937796375422
5.402010050251256,-2.6369154328312665,-14.244643669817144
5.431909547738694,-2.622709734791405,-14.24632204936065
5.461809045226131,-2.608654641999428,-14.24797351954361
5.491708542713568,-2.594747798194916,-14.249598649534242
5.521608040201006,-2.5809868954574178,-14.251197993611111
5.551507537688442,-2.5673696729880024,-14.252772091625607
5.5814070351758795,-2.553893915927005,-14.254321469447861
5.611306532663317,-2.540557454206738,-14.255846639396756
5.641206030150754,-2.527358161437976,-14.257348100654633
5.671105527638192,-2.5142939538290827,-14.258826339667396
5.701005025125628,-2.501362789136685,-14.260281830530499
5.7309045226130655,-2.488562665646833,-14.261715035361462
5.760804020100503,-2.4758916211856374,-14.26312640465937
5.79070351758794,-2.4633477321584056,-14.264516377651955
5.820603015075378,-2.450929112616335,-14.265885382630659
5.850502512562814,-2.4386339133498556,-14.267233837274217
5.880402010050251,-2.4264603210077564,-14.26856214896119
5.910301507537689,-2.414406557241246,-14.269870715071818
5.940201005025126,-2.402470877872144,-14.271159923279706
5.9701005025125635,-2.3906515720844177,-14.272430151833632
6.0,-2.378946961638323,-14.273681769829938
